company;rank;rank_change;revenue;profit;num. of employees;sector;city;state;newcomer;ceo_founder;ceo_woman;profitable;prev_rank;CEO;Website;Ticker;Market Cap
State Street;316;-64.0;12030.0;2693.0;38784.0;Financials;Boston;MA;no;no;no;yes;252.0;"Ronald P. O&#039;Hanley";https://www.statestreet.com;STT;31891.8
Unum Group;317;-87.0;12013.8;824.2;10200.0;Financials;Chattanooga;TN;no;no;no;yes;230.0;Richard P. McKenney;https://www.unum.com;UNM;6382.8
Alleghany;318;21.0;12004.1;1034.9;13313.0;Financials;New York;NY;no;no;no;yes;339.0;Joseph P. Brandon;https://www.alleghany.com;Y;11396.1
Boston Scientific;319;-14.0;11888.0;1041.0;41000.0;Health Care;Marlborough;MA;no;no;no;yes;305.0;Michael F. Mahoney;https://www.bostonscientific.com;BSX;63310.2
Westlake;320;68.0;11778.0;2015.0;14550.0;Chemicals;Houston;TX;no;no;no;yes;388.0;Albert Yuan Chao;https://www.westlake.com;WLK;15785.4
Entergy;321;-21.0;11742.9;1118.5;12369.0;Energy;New Orleans;LA;no;no;no;yes;300.0;Andrew S. Marsh;https://www.entergy.com;ETR;23760.4
International Flavors & Fragrances;322;0.0;11656.0;270.0;24000.0;Chemicals;New York;NY;yes;no;no;yes; ;Franklin K. Clyburn Jr.;https://www.iff.com;IFF;33455.6
DaVita;323;-52.0;11618.8;978.5;69000.0;Health Care;Denver;CO;no;no;no;yes;271.0;Javier J. Rodriguez;https://www.davita.com;DVA;10892.5
Mutual of Omaha Insurance;324;-42.0;11459.3;579.0;5739.0;Financials;Omaha;NE;no;no;no;yes;282.0;James T. Blackledge;https://www.mutualofomaha.com;;
Assurant;325;-23.0;11410.0;1372.4;15600.0;Financials;New York;NY;no;no;no;yes;302.0;Keith W. Demmings;https://www.assurant.com;AIZ;10493.1
Liberty Media;326;0.0;11400.0;398.0;6886.0;Media;Englewood;CO;no;no;no;yes;326.0;Gregory B. Maffei;https://www.libertymedia.com;LSXMA;15239.1
Hormel Foods;327;-10.0;11386.2;908.8;20000.0;Food, Beverages & Tobacco;Austin;MN;no;no;no;yes;317.0;James P. Snee;https://www.hormelfoods.com;HRL;28089.2
Icahn Enterprises;328;125.0;11328.0;-518.0;19536.0;Financials;Sunny Isles Beach;FL;no;no;no;no;453.0;David Willetts;https://www.ielp.com;IEP;15237.1
Republic Services;329;-32.0;11295.0;1290.4;35000.0;Business Services;Phoenix;AZ;no;no;no;yes;297.0;Jon Vander Ark;https://www.republicservices.com;RSG;41841.7
Mohawk Industries;330;-9.0;11200.6;1033.2;43000.0;Household Products;Calhoun;GA;no;no;no;yes;321.0;Jeffrey S. Lorberbaum;https://www.mohawkind.com;MHK;8081.8
Conagra Brands;331;-48.0;11184.7;1298.8;18600.0;Food, Beverages & Tobacco;Chicago;IL;no;no;no;yes;283.0;Sean M. Connolly;https://www.conagrabrands.com;CAG;16103.5
Norfolk Southern;332;-25.0;11142.0;3005.0;18100.0;Transportation;Atlanta;GA;no;no;no;yes;307.0;Alan H. Shaw;https://www.norfolksouthern.com;NSC;68389.3
AES;333;-20.0;11141.0;-409.0;8450.0;Energy;Arlington;VA;no;no;no;no;313.0;Andrés R. Gluski;https://www.aes.com;AES;17172.1
AGCO;334;-3.0;11138.3;897.0;23300.0;Industrials;Duluth;GA;no;no;no;yes;331.0;Eric P. Hansotia;https://www.agcocorp.com;AGCO;10885.3
Caesars Entertainment;335;0.0;11110.0;-1019.0;49000.0;Hotels, Restaurants & Leisure;Reno;NV;yes;no;no;no; ;Thomas R. Reeg;https://www.caesars.com;CZR;16564.6
Equitable Holdings;336;-92.0;11036.0;-439.0;10000.0;Financials;New York;NY;no;no;no;no;244.0;Mark Pearson;https://www.equitableholdings.com;EQH;12041.2
Advance Auto Parts;337;-36.0;10998.0;616.1;54500.0;Retailing;Raleigh;NC;no;no;no;yes;301.0;Thomas R. Greco;https://www.advanceautoparts.com;AAP;12644.8
Biogen;338;-110.0;10981.7;1556.1;9610.0;Health Care;Cambridge;MA;no;no;no;yes;228.0;Michel Vounatsos;https://www.biogen.com;BIIB;30950.4
